Date,Dividends,Company
10/31/1989,0.7,Chevron Corporation (CVX)
05/17/2018,1.12,Chevron Corporation (CVX)
11/05/1964,0.03438,Chevron Corporation (CVX)
05/05/1967,0.03906,Chevron Corporation (CVX)
05/17/2010,0.72,Chevron Corporation (CVX)
08/06/1984,0.6,Chevron Corporation (CVX)
02/03/1986,0.6,Chevron Corporation (CVX)
08/02/1988,0.65,Chevron Corporation (CVX)
08/16/2018,1.12,Chevron Corporation (CVX)
11/04/1993,0.8752,Chevron Corporation (CVX)
02/14/2011,0.72,Chevron Corporation (CVX)
05/17/2006,0.52,Chevron Corporation (CVX)
11/15/2006,0.52,Chevron Corporation (CVX)
02/07/1990,0.7,Chevron Corporation (CVX)
08/16/2006,0.52,Chevron Corporation (CVX)
02/14/2007,0.52,Chevron Corporation (CVX)
05/14/1996,0.5,Chevron Corporation (CVX)
02/07/1966,0.03906,Chevron Corporation (CVX)
08/04/1970,0.04375,Chevron Corporation (CVX)
11/03/1986,0.6,Chevron Corporation (CVX)
02/13/2004,0.73,Chevron Corporation (CVX)
11/16/2016,1.08,Chevron Corporation (CVX)
05/17/2017,1.08,Chevron Corporation (CVX)
04/30/1991,0.8252,Chevron Corporation (CVX)
05/05/1966,0.03906,Chevron Corporation (CVX)
02/13/1996,0.5,Chevron Corporation (CVX)
08/13/1996,0.54,Chevron Corporation (CVX)
05/12/1975,0.0625,Chevron Corporation (CVX)
08/16/2017,1.08,Chevron Corporation (CVX)
05/17/2005,0.45,Chevron Corporation (CVX)
02/10/1995,0.4626,Chevron Corporation (CVX)
11/14/2007,0.58,Chevron Corporation (CVX)
08/11/1975,0.0625,Chevron Corporation (CVX)
02/13/2008,0.58,Chevron Corporation (CVX)
05/04/1971,0.04375,Chevron Corporation (CVX)
11/14/2003,0.73,Chevron Corporation (CVX)
11/12/1996,0.54,Chevron Corporation (CVX)
08/05/1969,0.04375,Chevron Corporation (CVX)
05/05/1986,0.6,Chevron Corporation (CVX)
08/15/2003,0.73,Chevron Corporation (CVX)
11/07/1962,0.02976,Chevron Corporation (CVX)
05/01/1990,0.7,Chevron Corporation (CVX)
08/15/1995,0.5,Chevron Corporation (CVX)
08/04/1986,0.6,Chevron Corporation (CVX)
08/17/2016,1.07,Chevron Corporation (CVX)
02/06/1963,0.03125,Chevron Corporation (CVX)
07/31/1990,0.7752,Chevron Corporation (CVX)
08/05/1965,0.03438,Chevron Corporation (CVX)
11/16/2004,0.4,Chevron Corporation (CVX)
08/17/2004,0.8,Chevron Corporation (CVX)
05/05/1970,0.04375,Chevron Corporation (CVX)
08/15/2002,0.7,Chevron Corporation (CVX)
11/06/1963,0.03125,Chevron Corporation (CVX)
11/16/2010,0.72,Chevron Corporation (CVX)
05/17/2011,0.78,Chevron Corporation (CVX)
05/15/2015,1.07,Chevron Corporation (CVX)
11/14/2014,1.07,Chevron Corporation (CVX)
02/12/2014,1,Chevron Corporation (CVX)
08/06/1973,0.04688,Chevron Corporation (CVX)
05/04/1984,0.6,Chevron Corporation (CVX)
08/18/1997,0.58,Chevron Corporation (CVX)
08/07/1967,0.03906,Chevron Corporation (CVX)
11/05/1985,0.6,Chevron Corporation (CVX)
11/15/2019,1.19,Chevron Corporation (CVX)
02/05/1965,0.03438,Chevron Corporation (CVX)
08/09/1976,0.06875,Chevron Corporation (CVX)
11/18/1998,0.61,Chevron Corporation (CVX)
02/05/1973,0.04688,Chevron Corporation (CVX)
02/05/1987,0.6,Chevron Corporation (CVX)
11/15/1995,0.5,Chevron Corporation (CVX)
05/05/1987,0.6,Chevron Corporation (CVX)
08/07/1962,0.02976,Chevron Corporation (CVX)
08/05/1966,0.03906,Chevron Corporation (CVX)
08/17/2009,0.68,Chevron Corporation (CVX)
11/04/1994,0.4626,Chevron Corporation (CVX)
08/15/2013,1,Chevron Corporation (CVX)
11/17/1999,0.65,Chevron Corporation (CVX)
05/16/2001,0.65,Chevron Corporation (CVX)
11/06/1990,0.7752,Chevron Corporation (CVX)
05/05/1992,0.8252,Chevron Corporation (CVX)
02/18/1997,0.54,Chevron Corporation (CVX)
05/17/2016,1.07,Chevron Corporation (CVX)
05/05/1965,0.03438,Chevron Corporation (CVX)
02/07/1967,0.03906,Chevron Corporation (CVX)
11/03/1987,0.6,Chevron Corporation (CVX)
02/04/1974,0.0625,Chevron Corporation (CVX)
02/06/1984,0.6,Chevron Corporation (CVX)
02/15/2018,1.12,Chevron Corporation (CVX)
02/14/2005,0.4,Chevron Corporation (CVX)
05/17/2000,0.65,Chevron Corporation (CVX)
11/15/2000,0.65,Chevron Corporation (CVX)
08/05/1974,0.0625,Chevron Corporation (CVX)
02/03/1975,0.0625,Chevron Corporation (CVX)
02/12/2009,0.65,Chevron Corporation (CVX)
11/04/1970,0.04375,Chevron Corporation (CVX)
11/05/1991,0.8252,Chevron Corporation (CVX)
11/07/1980,0.03594,Eli Lilly and Company (LLY)
02/13/2002,0.31,Eli Lilly and Company (LLY)
05/14/2015,0.5,Eli Lilly and Company (LLY)
11/10/2009,0.49,Eli Lilly and Company (LLY)
02/13/2006,0.4,Eli Lilly and Company (LLY)
08/13/2007,0.425,Eli Lilly and Company (LLY)
11/10/2005,0.38,Eli Lilly and Company (LLY)
11/06/1981,0.03594,Eli Lilly and Company (LLY)
02/12/2003,0.335,Eli Lilly and Company (LLY)
08/11/2005,0.38,Eli Lilly and Company (LLY)
05/09/1984,0.04531,Eli Lilly and Company (LLY)
08/14/2018,0.5625,Eli Lilly and Company (LLY)
02/09/1994,0.6252,Eli Lilly and Company (LLY)
11/13/2006,0.4,Eli Lilly and Company (LLY)
02/09/1990,0.41,Eli Lilly and Company (LLY)
11/13/2002,0.31,Eli Lilly and Company (LLY)
05/11/2006,0.4,Eli Lilly and Company (LLY)
11/05/1982,0.04063,Eli Lilly and Company (LLY)
02/11/2004,0.355,Eli Lilly and Company (LLY)
08/11/2004,0.355,Eli Lilly and Company (LLY)
02/13/2017,0.52,Eli Lilly and Company (LLY)
08/11/2000,0.26,Eli Lilly and Company (LLY)
02/11/2000,0.26,Eli Lilly and Company (LLY)
11/10/2016,0.51,Eli Lilly and Company (LLY)
05/11/2017,0.52,Eli Lilly and Company (LLY)
08/09/1983,0.04531,Eli Lilly and Company (LLY)
11/12/2003,0.335,Eli Lilly and Company (LLY)
